Cluster,N_Trades,Total_Profit,Avg_Profit,Std_Profit,Win_Rate_%,Avg_Duration_Hrs,Avg_RSI,Avg_ATR,Avg_ADX,Avg_MACD,Avg_StochK,Trend_Bias,Top_Entry_Hour
Cluster 0,200,2318.3900000000003,11.591950000000002,30.032642320000846,70.5,18.347054166666666,49.454379624130304,3.2845464285714105,24.871719712604055,-0.1428653412673498,48.09016567619904,Bearish,12
Cluster 1,93,1630.88,17.536344086021508,29.62092110187993,76.34408602150538,79.62980884109918,36.02593656064693,2.7264900153609557,42.61762543161948,-2.354423523529286,25.769802522229543,Bearish,15
Cluster 2,76,298.4300000000001,3.926710526315791,31.03386513206319,57.89473684210527,15.784645467836256,32.51761109516507,6.645112781954862,41.598793033428535,-6.796564756605449,26.346980205923934,Bearish,16
Cluster 3,61,201.72,3.3068852459016393,28.68103772768015,60.65573770491803,16.370218579234972,66.7730635956448,3.616756440280992,44.22870378092379,4.175716635883843,79.89005939789058,Bullish,12
