entry_order,entry_deal,entry_time,entry_price,entry_balance,entry_comment_deal,entry_comment_order,exit_order,exit_deal,exit_time,exit_price,exit_balance,profit,exit_comment_deal,exit_comment_order,entry_Timestamp,entry_Open,entry_High,entry_Low,entry_Close,entry_Spread (Pips),entry_RSI(14),"entry_MA(20,SMA)",entry_MACD Main,entry_MACD Signal,entry_ATR(14),entry_ADX(14),entry_plusDI(14),entry_minusDI(14),entry_StochK(14),entry_StochD(14),entry_BB_Upper,entry_BB_Mid,entry_BB_Lower,entry_candle_time,exit_Timestamp,exit_Open,exit_High,exit_Low,exit_Close,exit_Spread (Pips),exit_RSI(14),"exit_MA(20,SMA)",exit_MACD Main,exit_MACD Signal,exit_ATR(14),exit_ADX(14),exit_plusDI(14),exit_minusDI(14),exit_StochK(14),exit_StochD(14),exit_BB_Upper,exit_BB_Mid,exit_BB_Lower,exit_candle_time
19,19,2025-01-21 01:00:00,2708.31,10165.62,IMPERIUM,IMPERIUM,21,21,2025-01-21 15:00:00,2726.58,10196.3,18.27,,,2025.01.21 01:00,2706.46,2707.62,2706.46,2707.18,114.0,46.39412804522997,2708.087999999997,0.1718142654808616,0.5118562541883981,1.6078571428570891,23.84525738006426,13.91742721933811,20.58034768958933,33.09352517985682,50.470999389568426,2710.693567884358,2708.0879999999997,2705.4824321156407,2025-01-21 01:00:00,2025.01.21 15:00,2726.43,2727.95,2726.27,2727.86,75.0,68.53900874335689,2723.8770000000004,1.49038098245137,1.2219555663743755,1.5299999999999354,41.19533144628204,30.430033912525047,11.85241058544598,86.04780433574358,83.24373934876145,2728.3192701403677,2723.877,2719.4347298596326,2025-01-21 15:00:00
24,24,2025-01-22 22:00:00,2755.5,10247.41,IMPERIUM,IMPERIUM,27,27,2025-01-24 05:04:40,2777.02,10272.19,24.78,tp 2777.02,tp 2777.02,2025.01.22 22:00,2754.9,2754.9,2754.6,2754.8,75.0,37.93832607486048,2756.4095,-0.5582639010540333,-0.3909929642368712,0.7507142857142648,48.32850722956186,6.071030793786517,19.897249040279107,7.870837537846566,8.662911226781098,2758.9269230872064,2756.4095,2753.892076912793,2025-01-22 22:00:00,2025.01.24 05:00,2773.76,2776.9,2773.76,2776.83,90.0,80.73651470366985,2766.987500000001,4.27936985106453,3.61100015692971,2.4664285714285823,63.74282402171316,40.70676497820663,4.292208844951196,97.10233029382,97.48386634262444,2778.716041043114,2766.9875,2755.2589589568865,2025-01-24 05:00:00
26,26,2025-01-23 12:00:00,2746.19,10247.41,IMPERIUM,IMPERIUM,29,29,2025-01-24 11:00:00,2773.86,10318.22,18.36,,,2025.01.23 12:00,2745.52,2746.4,2744.91,2745.61,73.0,36.737210277778445,2748.758500000002,-2.250631475139471,-2.027448584376686,2.0464285714285744,28.67491023057405,25.34104414101872,23.872706177889885,38.55954238169596,32.03287224881827,2757.538587186355,2748.7585,2739.978412813645,2025-01-23 12:00:00,2025.01.24 11:00,2773.71,2774.03,2772.46,2773.5,71.0,53.54907771949245,2772.3995,-0.0536945873941476,-0.5158684366264226,1.73571428571436,25.777219546327142,12.991704173613943,19.73837080900433,76.04938271605126,76.43249521953943,2774.9294839920444,2772.3995000000004,2769.8695160079565,2025-01-24 11:00:00
25,25,2025-01-23 08:00:00,2752.24,10247.41,IMPERIUM,IMPERIUM,28,28,2025-01-24 11:00:00,2773.86,10299.86,27.67,,,2025.01.23 08:00,2751.69,2752.74,2750.77,2752.09,70.0,51.92550876518246,2752.0100000000016,0.0685530695636771,0.0928623607916747,1.0350000000000128,15.810478041285506,9.944355628605644,15.593720521847178,48.580441640376485,47.0213672570324,2752.8873596753897,2752.01,2751.13264032461,2025-01-23 08:00:00,2025.01.24 11:00,2773.71,2774.03,2772.46,2773.5,71.0,53.54907771949245,2772.3995,-0.0536945873941476,-0.5158684366264226,1.73571428571436,25.777219546327142,12.991704173613943,19.73837080900433,76.04938271605126,76.43249521953943,2774.9294839920444,2772.3995000000004,2769.8695160079565,2025-01-24 11:00:00
30,30,2025-01-27 05:00:00,2756.56,10318.22,IMPERIUM,IMPERIUM,34,34,2025-01-27 12:00:00,2763.09,10338.1,6.53,,,2025.01.27 05:00,2755.81,2756.83,2754.76,2755.89,82.0,29.581919504945034,2759.869999999997,-2.999655860056464,-3.048046457679084,2.272142857142849,60.50771750178514,10.038815222166267,25.454854993793983,20.441817050403653,22.071947926642547,2767.9715603435397,2759.8700000000003,2751.7684396564614,2025-01-27 05:00:00,2025.01.27 12:00,2762.94,2765.19,2762.68,2763.87,83.0,64.36968416499465,2760.2884999999983,2.3515031165529763,2.265504160766099,2.4857142857142955,47.06872470029319,29.64148428388883,5.824765553243667,86.52188900379083,85.63595130535738,2765.916694293021,2760.2885,2754.6603057069788,2025-01-27 12:00:00
31,31,2025-01-27 05:00:00,2756.56,10318.22,IMPERIUM,IMPERIUM,33,33,2025-01-27 12:00:00,2763.09,10331.57,13.35,,,2025.01.27 05:00,2755.81,2756.83,2754.76,2755.89,82.0,29.581919504945034,2759.869999999997,-2.999655860056464,-3.048046457679084,2.272142857142849,60.50771750178514,10.038815222166267,25.454854993793983,20.441817050403653,22.071947926642547,2767.9715603435397,2759.8700000000003,2751.7684396564614,2025-01-27 05:00:00,2025.01.27 12:00,2762.94,2765.19,2762.68,2763.87,83.0,64.36968416499465,2760.2884999999983,2.3515031165529763,2.265504160766099,2.4857142857142955,47.06872470029319,29.64148428388883,5.824765553243667,86.52188900379083,85.63595130535738,2765.916694293021,2760.2885,2754.6603057069788,2025-01-27 12:00:00
32,32,2025-01-27 10:00:00,2749.74,10318.22,IMPERIUM,IMPERIUM,35,35,2025-01-27 14:00:00,2771.29,10352.83,14.73,,,2025.01.27 10:00,2748.99,2751.3,2748.93,2751.16,72.0,46.53483725724988,2751.720999999998,-1.0983594443946458,-1.1504955449736265,1.8807142857143748,36.73784764358808,8.910747826179566,20.80137115789095,45.764154959557686,47.52376897970875,2754.894205949825,2751.7210000000005,2748.547794050176,2025-01-27 10:00:00,2025.01.27 14:00,2771.14,2771.27,2770.09,2771.27,85.0,68.86074907213575,2768.3564999999985,2.12994208070586,2.070295065693861,1.84285714285712,48.41314847869363,23.83927730149805,5.407105657043787,95.57385486361238,90.5161635061195,2771.459925687849,2768.3565000000003,2765.2530743121515,2025-01-27 14:00:00
36,36,2025-01-27 15:00:00,2761.67,10352.83,IMPERIUM,IMPERIUM,40,40,2025-01-29 11:00:00,2763.79,10354.95,2.12,,,2025.01.27 15:00,2761.03,2761.1,2757.53,2759.83,75.0,34.36886243227396,2765.3329999999974,-1.3395489670951974,-0.6857997790526497,2.324999999999944,36.13031827316295,10.83191404640101,33.98085475584972,13.172189027700796,15.725619732330443,2773.122914248565,2765.333,2757.5430857514343,2025-01-27 15:00:00,2025.01.29 11:00,2763.64,2763.73,2761.56,2761.59,83.0,50.300097068409,2761.0919999999965,0.9368655328221394,0.9103986152288508,1.65357142857153,37.414499477773546,16.969223690057365,20.201216155006115,66.37681159420347,70.75426848749093,2766.257902050949,2761.092,2755.9260979490505,2025-01-29 11:00:00
37,37,2025-01-27 16:00:00,2757.36,10352.83,IMPERIUM,IMPERIUM,41,41,2025-01-29 14:00:00,2758.78,10379.04,24.09,,,2025.01.27 16:00,2756.71,2757.49,2753.13,2753.16,70.0,32.29929587177416,2758.926999999998,-2.653208341981099,-2.2764870078023303,2.7785714285713348,43.260907845260576,12.184911690544029,30.390294585079296,33.079963514746126,31.25631863679642,2765.309579729232,2758.9270000000006,2752.544420270769,2025-01-27 16:00:00,2025.01.29 14:00,2758.63,2758.68,2757.09,2757.33,83.0,36.62844166152716,2758.215499999996,-0.602947864134876,-0.7482221144200989,1.080714285714226,24.61401843972348,7.89419554692119,21.05782563937228,58.80861850444109,69.37136718782114,2759.470736631078,2758.2155,2756.9602633689224,2025-01-29 14:00:00
38,38,2025-01-27 18:00:00,2742.24,10352.83,IMPERIUM,IMPERIUM,42,42,2025-01-29 14:00:00,2758.78,10395.58,16.54,,,2025.01.27 18:00,2741.61,2742.64,2739.88,2741.46,68.0,34.41868269397922,2744.9714999999983,-3.635535927232468,-4.085288594244089,2.9164285714285314,28.21448310960181,14.122589628578671,28.109686366064665,19.202180376610663,19.26204595493772,2753.22034300978,2744.9715,2736.72265699022,2025-01-27 18:00:00,2025.01.29 14:00,2758.63,2758.68,2757.09,2757.33,83.0,36.62844166152716,2758.215499999996,-0.602947864134876,-0.7482221144200989,1.080714285714226,24.61401843972348,7.89419554692119,21.05782563937228,58.80861850444109,69.37136718782114,2759.470736631078,2758.2155,2756.9602633689224,2025-01-29 14:00:00
