filter_name,n_filtered,n_excluded,pct_trades_kept,win_rate_filtered,win_rate_excluded,win_rate_improvement,avg_profit_filtered,avg_profit_excluded,profit_improvement,total_profit_filtered,p_value_ttest,p_value_chi2,cohens_d,significant
Day: Tuesday,85,345,19.767441860465116,61.1764705882353,69.85507246376812,-8.678601875532827,9.529176470588233,10.549101449275364,-1.019924978687131,809.9799999999998,0.7811794551529715,0.15905966164067686,-0.03278574084360004,False
Session: Asian,102,328,23.72093023255814,65.68627450980392,68.90243902439023,-3.2161645145863105,9.202745098039216,10.703475609756099,-1.500730511716883,938.6800000000001,0.662399866971584,0.6261174017478468,-0.05119858706034007,False
Day: Thursday,95,335,22.093023255813954,68.42105263157895,68.05970149253731,0.36135113904163063,9.039473684210527,10.718417910447762,-1.6789442262372347,858.7500000000001,0.6337861900579882,1.0,-0.05762055787045912,False
ATR > 5.0,109,321,25.348837209302328,62.38532110091744,70.09345794392523,-7.708136843007793,9.037798165137614,10.792211838006232,-1.7544136728686173,985.1199999999999,0.6016751373341838,0.1696485630284688,-0.05656760764051561,False
Uptrend (DI+ > DI-),176,254,40.93023255813954,67.61363636363636,68.50393700787401,-0.8903006442376551,9.294375,11.077204724409448,-1.7828297244094475,1635.81,0.5487631487458592,0.9286198351113305,-0.058702921098151686,False
ADX < 30 (Weak),190,240,44.18604651162791,66.3157894736842,69.58333333333333,-3.2675438596491233,9.141631578947369,11.302125,-2.1604934210526316,1736.91,0.46297560768360224,0.5365946404775673,-0.07019134007806128,False
StochK > 80 (Overbought),67,363,15.58139534883721,65.67164179104478,68.59504132231406,-2.9233995312692826,8.521641791044775,10.684490358126723,-2.162848567081948,570.9499999999999,0.5915976739088491,0.7420209819494097,-0.07870348035368581,False
MACD > Signal (Bullish),175,255,40.69767441860465,63.42857142857142,71.37254901960785,-7.943977591036422,8.994114285714286,11.27627450980392,-2.282160224089635,1573.97,0.44309508802628594,0.10277838521720872,-0.07471367178311712,False
Hours 8-17 (Main),214,216,49.76744186046512,67.7570093457944,68.51851851851852,-0.7615091727241179,8.633785046728972,12.045324074074074,-3.4115390273451016,1847.63,0.24303985953433607,0.9474161653229072,-0.11272235620187135,False
ADX < 40 (Weak),291,139,67.67441860465117,66.32302405498281,71.94244604316546,-5.619421988182651,9.224123711340207,12.699280575539568,-3.475156864199361,2684.2200000000003,0.2659889508263036,0.2895601902828432,-0.11869466095852302,False
