entry_order,entry_deal,entry_time,entry_price,entry_balance,entry_comment_deal,entry_comment_order,exit_order,exit_deal,exit_time,exit_price,exit_balance,profit,exit_comment_deal,exit_comment_order,entry_Timestamp,entry_Open,entry_High,entry_Low,entry_Close,entry_Spread (Pips),entry_RSI(14),"entry_MA(20,SMA)",entry_MACD Main,entry_MACD Signal,entry_ATR(14),entry_ADX(14),entry_plusDI(14),entry_minusDI(14),entry_StochK(14),entry_StochD(14),entry_BB_Upper,entry_BB_Mid,entry_BB_Lower,entry_candle_time,exit_Timestamp,exit_Open,exit_High,exit_Low,exit_Close,exit_Spread (Pips),exit_RSI(14),"exit_MA(20,SMA)",exit_MACD Main,exit_MACD Signal,exit_ATR(14),exit_ADX(14),exit_plusDI(14),exit_minusDI(14),exit_StochK(14),exit_StochD(14),exit_BB_Upper,exit_BB_Mid,exit_BB_Lower,exit_candle_time,duration_hours,trade_duration_minutes,cluster
36,36,2025-01-27 15:00:00,2761.67,10352.83,IMPERIUM,IMPERIUM,40,40,2025-01-29 11:00:00,2763.79,10354.95,2.12,,,2025.01.27 15:00,2761.03,2761.1,2757.53,2759.83,75.0,34.36886243227396,2765.3329999999974,-1.3395489670951974,-0.6857997790526497,2.324999999999944,36.13031827316295,10.83191404640101,33.98085475584972,13.172189027700796,15.725619732330443,2773.122914248565,2765.333,2757.5430857514343,2025-01-27 15:00:00,2025.01.29 11:00,2763.64,2763.73,2761.56,2761.59,83.0,50.300097068409,2761.0919999999965,0.9368655328221394,0.9103986152288508,1.65357142857153,37.414499477773546,16.969223690057365,20.201216155006115,66.37681159420347,70.75426848749093,2766.257902050949,2761.092,2755.9260979490505,2025-01-29 11:00:00,44.0,2640.0,1
37,37,2025-01-27 16:00:00,2757.36,10352.83,IMPERIUM,IMPERIUM,41,41,2025-01-29 14:00:00,2758.78,10379.04,24.09,,,2025.01.27 16:00,2756.71,2757.49,2753.13,2753.16,70.0,32.29929587177416,2758.926999999998,-2.653208341981099,-2.2764870078023303,2.7785714285713348,43.260907845260576,12.184911690544029,30.390294585079296,33.079963514746126,31.25631863679642,2765.309579729232,2758.9270000000006,2752.544420270769,2025-01-27 16:00:00,2025.01.29 14:00,2758.63,2758.68,2757.09,2757.33,83.0,36.62844166152716,2758.215499999996,-0.602947864134876,-0.7482221144200989,1.080714285714226,24.61401843972348,7.89419554692119,21.05782563937228,58.80861850444109,69.37136718782114,2759.470736631078,2758.2155,2756.9602633689224,2025-01-29 14:00:00,46.0,2760.0,1
38,38,2025-01-27 18:00:00,2742.24,10352.83,IMPERIUM,IMPERIUM,42,42,2025-01-29 14:00:00,2758.78,10395.58,16.54,,,2025.01.27 18:00,2741.61,2742.64,2739.88,2741.46,68.0,34.41868269397922,2744.9714999999983,-3.635535927232468,-4.085288594244089,2.9164285714285314,28.21448310960181,14.122589628578671,28.109686366064665,19.202180376610663,19.26204595493772,2753.22034300978,2744.9715,2736.72265699022,2025-01-27 18:00:00,2025.01.29 14:00,2758.63,2758.68,2757.09,2757.33,83.0,36.62844166152716,2758.215499999996,-0.602947864134876,-0.7482221144200989,1.080714285714226,24.61401843972348,7.89419554692119,21.05782563937228,58.80861850444109,69.37136718782114,2759.470736631078,2758.2155,2756.9602633689224,2025-01-29 14:00:00,44.0,2640.0,1
39,39,2025-01-27 19:00:00,2734.69,10352.83,IMPERIUM,IMPERIUM,43,43,2025-01-29 14:00:00,2758.78,10397.0,1.42,,,2025.01.27 19:00,2734.06,2734.64,2732.17,2732.24,78.0,25.286557387025425,2739.429499999998,-3.615717789158225,-3.208863938310808,2.535000000000015,43.14579181527493,7.286669449713302,34.66377108161301,5.676442762535963,8.183125264921856,2745.238594507752,2739.4295,2733.620405492248,2025-01-27 19:00:00,2025.01.29 14:00,2758.63,2758.68,2757.09,2757.33,83.0,36.62844166152716,2758.215499999996,-0.602947864134876,-0.7482221144200989,1.080714285714226,24.61401843972348,7.89419554692119,21.05782563937228,58.80861850444109,69.37136718782114,2759.470736631078,2758.2155,2756.9602633689224,2025-01-29 14:00:00,43.0,2580.0,1
57,57,2025-02-05 21:00:00,2865.93,10486.67,IMPERIUM,IMPERIUM,59,59,2025-02-06 12:00:00,2859.15,10467.55,-6.78,,,2025.02.05 21:00,2865.22,2865.78,2862.93,2863.08,63.0,30.467286658314336,2869.728999999991,-2.0082168143335366,-1.0620081212195918,2.235714285714298,47.28570639270431,11.246731823436654,34.63644408773232,12.678868552412576,10.970389478524352,2876.209666323766,2869.729,2863.2483336762334,2025-02-05 21:00:00,2025.02.06 12:00,2859.0,2859.45,2857.81,2857.81,81.0,50.82158040518113,2856.5099999999925,-0.0063618059066357,-0.4726568666344626,2.020714285714283,31.04393684786653,18.653586013078623,8.094355748597058,78.14726840854802,77.7860932157784,2860.632906741608,2856.51,2852.387093258392,2025-02-06 12:00:00,15.0,900.0,1
77,77,2025-02-11 12:00:00,2903.39,10597.46,IMPERIUM,IMPERIUM,80,80,2025-02-11 16:00:00,2896.15,10585.34,6.78,,,2025.02.11 12:00,2902.79,2906.29,2901.5,2905.11,69.0,39.81045993591551,2908.520999999992,-2.3774655015395183,-1.9355019578828687,2.790000000000057,58.19809446359631,9.160577368859864,31.155600319128894,19.112988384374425,14.760338038950286,2914.6168179106667,2908.521,2902.4251820893337,2025-02-11 12:00:00,2025.02.11 16:00,2896.0,2898.54,2894.44,2897.08,86.0,54.9292321200144,2892.2994999999896,-1.5122479393303363,-3.3480569276565544,4.776428571428594,30.272135369724605,26.72518182333374,13.293482603888709,80.04626951995316,70.33205621982296,2902.964312187751,2892.2995,2881.634687812249,2025-02-11 16:00:00,4.0,240.0,1
102,102,2025-02-14 20:00:00,2887.36,10628.61,IMPERIUM,IMPERIUM,106,106,2025-02-17 14:00:00,2900.77,10642.02,13.41,,,2025.02.14 20:00,2886.63,2886.96,2885.08,2885.27,81.0,27.44177291374541,2891.4654999999934,-4.623676425276244,-4.447509431021831,2.361428571428529,55.991938160570726,3.709195029254981,25.17271533330878,10.924839340597536,12.734721242642973,2897.9060573516576,2891.4655,2885.024942648341,2025-02-14 20:00:00,2025.02.17 14:00,2900.62,2901.13,2898.99,2899.15,85.0,46.77556136857736,2899.573499999993,-0.1872983670896246,-0.1935471617196152,1.6400000000001262,13.677751602629312,13.934768788418406,16.030458452041916,37.984054669705024,43.29030237425574,2902.9605357246423,2899.5735000000004,2896.1864642753585,2025-02-17 14:00:00,66.0,3960.0,1
103,103,2025-02-14 20:00:00,2887.36,10628.61,IMPERIUM,IMPERIUM,108,108,2025-02-18 16:29:40,2922.98,10667.89,25.87,tp 2922.98,tp 2922.98,2025.02.14 20:00,2886.63,2886.96,2885.08,2885.27,81.0,27.44177291374541,2891.4654999999934,-4.623676425276244,-4.447509431021831,2.361428571428529,55.991938160570726,3.709195029254981,25.17271533330878,10.924839340597536,12.734721242642973,2897.9060573516576,2891.4655,2885.024942648341,2025-02-14 20:00:00,2025.02.18 16:25,2921.55,2922.86,2921.11,2922.86,78.0,70.88234651246682,2918.155499999993,1.965531518712396,1.670785674466785,2.19571428571433,42.99750521500725,34.747479578259686,11.481857743340605,89.67264224473848,83.65936795915681,2922.568319846765,2918.1555,2913.742680153235,2025-02-18 16:25:00,92.49444444444444,5549.666666666667,1
104,104,2025-02-14 21:00:00,2884.0,10628.61,IMPERIUM,IMPERIUM,110,110,2025-02-19 10:41:20,2939.87,10726.86,58.97,tp 2939.87,tp 2939.87,2025.02.14 21:00,2883.52,2885.19,2883.43,2884.79,63.0,38.68016581957564,2885.9374999999927,-3.392386132121373,-3.94101251576652,1.9885714285714648,46.85368739841064,19.96938461533576,20.049237103408327,32.61589403973869,21.567166224673223,2891.9002707485697,2885.9375,2879.9747292514303,2025-02-14 21:00:00,2025.02.19 10:40,2939.51,2939.76,2937.87,2937.88,63.0,62.7452321654076,2935.354499999994,1.6105389914196169,1.1867208390663784,1.5685714285714265,53.62759564686309,28.408653286593257,3.5695006408000047,87.04525288376186,90.27468490902618,2939.4599279923045,2935.3545,2931.249072007696,2025-02-19 10:40:00,109.68888888888888,6581.333333333333,1
105,105,2025-02-14 22:00:00,2880.9,10628.61,IMPERIUM,IMPERIUM,111,111,2025-02-19 11:15:40,2943.16,10786.02,59.16,tp 2943.16,tp 2943.16,2025.02.14 22:00,2880.23,2880.96,2879.86,2880.1,74.0,28.94128415032715,2882.720999999993,-2.496877705373663,-2.534224418973817,1.3292857142857162,54.35362394626987,8.734972387431878,32.40366447915576,22.528517110264183,17.684978822888297,2885.9796678259686,2882.7210000000005,2879.4623321740323,2025-02-14 22:00:00,2025.02.19 11:15,2939.23,2946.11,2939.01,2945.25,78.0,78.96055084931993,2937.2529999999942,1.941962700969725,1.547684691650998,1.8878571428571589,38.79934338850666,33.56400204047729,10.747061445588674,88.39474798813798,83.11965938640287,2942.511270057728,2937.253,2931.9947299422715,2025-02-19 11:15:00,109.2611111111111,6555.666666666667,1
