entry_order,entry_deal,entry_time,entry_price,entry_balance,entry_comment_deal,entry_comment_order,exit_order,exit_deal,exit_time,exit_price,exit_balance,profit,exit_comment_deal,exit_comment_order,entry_Timestamp,entry_Open,entry_High,entry_Low,entry_Close,entry_Spread (Pips),entry_RSI(14),"entry_MA(20,SMA)",entry_MACD Main,entry_MACD Signal,entry_ATR(14),entry_ADX(14),entry_plusDI(14),entry_minusDI(14),entry_StochK(14),entry_StochD(14),entry_BB_Upper,entry_BB_Mid,entry_BB_Lower,entry_candle_time,exit_Timestamp,exit_Open,exit_High,exit_Low,exit_Close,exit_Spread (Pips),exit_RSI(14),"exit_MA(20,SMA)",exit_MACD Main,exit_MACD Signal,exit_ATR(14),exit_ADX(14),exit_plusDI(14),exit_minusDI(14),exit_StochK(14),exit_StochD(14),exit_BB_Upper,exit_BB_Mid,exit_BB_Lower,exit_candle_time,duration_hours,trade_duration_minutes,cluster
50,50,2025-02-03 16:00:00,2811.32,10432.2,IMPERIUM,IMPERIUM,51,51,2025-02-04 15:00:00,2821.61,10442.49,10.29,,,2025.02.03 16:00,2810.61,2811.64,2809.63,2810.23,68.0,63.85964623462708,2808.543499999994,2.170962643917392,2.51025345285614,2.029285714285733,42.55478058282369,23.394875229450754,7.63768459357704,71.84087363494577,66.47336540951994,2812.6713143126844,2808.5435,2804.415685687316,2025-02-03 16:00:00,2025.02.04 15:00,2821.46,2822.59,2821.02,2821.47,79.0,68.32227223467828,2817.8014999999928,1.659659558344174,1.1642903896916237,1.6521428571429286,47.187614872063534,27.18208747019676,6.441365725570059,90.85958770906106,93.17668780139056,2822.9314250481857,2817.8015000000005,2812.671574951816,2025-02-04 15:00:00,23.0,1380.0,3
52,52,2025-02-04 16:00:00,2831.95,10442.49,IMPERIUM,IMPERIUM,53,53,2025-02-05 05:31:40,2853.84,10464.38,21.89,tp 2853.84,tp 2853.84,2025.02.04 16:00,2831.21,2831.6,2829.64,2830.25,71.0,63.367874364094114,2826.647999999992,3.965744555323909,4.112649341583126,2.830714285714325,49.61999011164798,19.48539088483752,16.336453465107123,64.33399602385597,72.02709392392948,2838.579569217836,2826.648,2814.7164307821645,2025-02-04 16:00:00,2025.02.05 05:30,2853.16,2854.03,2853.08,2853.43,83.0,68.62124539223926,2850.1824999999926,2.1073501226892404,1.8341047327457625,1.6264285714285047,31.270661262215828,32.1740523682722,10.466699270852992,91.8367346938777,88.64612844616316,2854.7476807193143,2850.1825,2845.617319280685,2025-02-05 05:30:00,13.52777777777778,811.6666666666666,3
67,67,2025-02-10 11:00:00,2896.89,10505.32,IMPERIUM,IMPERIUM,69,69,2025-02-11 01:42:40,2920.83,10581.09,23.94,tp 2920.83,tp 2920.83,2025.02.10 11:00,2896.2,2897.74,2895.88,2897.6,72.0,69.8804316485608,2894.5359999999946,2.6847684721237783,2.7675055832435573,1.9407142857142867,36.0707280000692,26.20646556718535,9.87829364940989,75.44827586206935,77.02336770985073,2898.073368513458,2894.5360000000005,2890.998631486543,2025-02-10 11:00:00,2025.02.11 01:40,2918.12,2921.24,2918.11,2921.04,78.0,84.16720959726666,2909.568999999993,3.1475942838246738,1.856130328726132,2.0585714285715326,52.00544402320268,49.207378441754045,6.606095436582174,98.66529774127316,94.77404592050338,2918.176872907984,2909.5690000000004,2900.961127092017,2025-02-11 01:40:00,14.71111111111111,882.6666666666666,3
70,70,2025-02-11 02:00:00,2918.04,10581.09,IMPERIUM,IMPERIUM,71,71,2025-02-11 04:00:00,2933.69,10596.74,15.65,,,2025.02.11 02:00,2917.4,2917.69,2915.97,2916.41,79.0,62.671819653324526,2911.982499999993,3.3408635054624938,2.766976518780225,2.452857142857181,52.166323671276736,27.7612234207395,16.253204548744705,75.7892293407612,81.44418958611836,2921.7334627729774,2911.9825,2902.231537227022,2025-02-11 02:00:00,2025.02.11 04:00,2933.54,2938.07,2933.3,2936.55,75.0,72.9287315002365,2926.484499999992,4.883842701849972,4.417558383728256,3.7349999999999928,49.46367230791682,30.56214337945928,7.003331080706956,91.51690821256072,91.44146466430072,2937.925408137032,2926.4845,2915.043591862968,2025-02-11 04:00:00,2.0,120.0,3
92,92,2025-02-13 06:00:00,2916.73,10631.12,IMPERIUM,IMPERIUM,93,93,2025-02-13 12:00:00,2915.09,10629.48,-1.64,,,2025.02.13 06:00,2916.15,2916.99,2915.89,2916.45,64.0,76.58343546617147,2911.4329999999904,2.881912829826433,2.406339665482156,1.851428571428605,55.56306652127372,21.73466831152381,6.808280624722282,89.49111713339163,89.86908670983593,2919.2346231644447,2911.433,2903.631376835556,2025-02-13 06:00:00,2025.02.13 12:00,2914.94,2916.46,2913.55,2916.41,79.0,57.588137750691686,2912.9449999999933,0.3431881578508182,-0.2651303791855276,2.160714285714314,28.46536883464153,18.49349171245808,7.669747104195789,69.06164114644736,72.66058908017983,2916.426364674951,2912.945,2909.4636353250485,2025-02-13 12:00:00,6.0,360.0,3
114,114,2025-02-20 03:00:00,2941.2,10843.69,IMPERIUM,IMPERIUM,115,115,2025-02-20 16:00:00,2933.47,10835.96,-7.73,,,2025.02.20 03:00,2940.48,2941.46,2939.17,2940.65,84.0,69.3070918990079,2937.5499999999943,1.724178965689589,1.658021053721835,1.4471428571428664,58.62429599612797,28.0821484336619,5.950725806162737,87.09847288046451,83.5238034477058,2942.401267875515,2937.55,2932.6987321244856,2025-02-20 03:00:00,2025.02.20 16:00,2933.32,2934.1,2929.1,2930.15,78.0,26.61625279922764,2941.394499999994,-3.3649725048744585,-1.991543888529964,3.723571428571399,29.49026609711711,10.619602320448498,32.35862074600167,8.6765994741465,11.156151528052764,2949.62901388972,2941.3944999999994,2933.159986110279,2025-02-20 16:00:00,13.0,780.0,3
121,121,2025-02-25 21:00:00,2909.73,10853.43,IMPERIUM,IMPERIUM,128,128,2025-02-28 06:19:20,2858.97,10705.39,-70.24,sl 2858.97,sl 2858.97,2025.02.25 21:00,2909.12,2909.73,2908.34,2908.66,76.0,56.33223602571436,2906.2119999999923,1.3863908123121291,0.8995006382990022,2.3507142857142704,50.35636087960718,25.018586657909992,9.873453955341317,67.69651935862395,76.44765624863636,2912.453873436718,2906.2120000000004,2899.970126563283,2025-02-25 21:00:00,2025.02.28 06:15,2863.24,2863.24,2857.6,2858.88,75.0,29.64954860864563,2868.234499999991,-3.710627650740207,-2.9516972043220275,3.1100000000000225,42.46366261247701,9.929693456314864,25.93895848974038,11.448275862069652,10.855229862849075,2878.178819936526,2868.2345,2858.290180063473,2025-02-28 06:15:00,57.32222222222222,3439.333333333333,3
138,138,2025-03-04 12:00:00,2918.29,10787.21,IMPERIUM,IMPERIUM,141,141,2025-03-07 17:00:00,2926.59,10795.51,8.3,,,2025.03.04 12:00,2917.65,2917.79,2913.38,2913.51,74.0,53.28984155037941,2915.882499999994,4.247586310139468,5.266692263851807,2.6771428571427487,40.65184211217185,21.67747198022785,26.54932894517629,64.71489883506972,78.21491849956217,2921.511822783427,2915.8825000000006,2910.2531772165744,2025-03-04 12:00:00,2025.03.07 17:00,2926.44,2929.71,2926.44,2929.34,74.0,68.39349818192883,2918.175499999996,1.94450739359354,0.0988302703753207,4.321428571428588,37.170496636519104,35.4383857462659,7.356560088722676,96.60403618650018,90.60044928930186,2928.015043637791,2918.1755,2908.3359563622084,2025-03-07 17:00:00,77.0,4620.0,3
152,152,2025-03-13 18:00:00,2970.37,10971.63,IMPERIUM,IMPERIUM,153,153,2025-03-14 13:16:40,3002.15,11003.41,31.78,tp 3002.15,tp 3002.15,2025.03.13 18:00,2969.74,2972.69,2966.84,2970.1,72.0,79.88606402161973,2955.5494999999937,5.813469020288267,3.7021889668836425,3.560714285714267,60.41074519164654,35.554777450505185,3.353474201764865,88.96580955072058,90.3453437212588,2971.1054910966805,2955.5495,2939.99350890332,2025-03-13 18:00:00,2025.03.14 13:15,3000.55,3004.47,3000.5,3004.33,68.0,83.34216616442903,2996.158999999996,3.293650221740336,2.980526942647858,1.6049999999999722,57.15014657999641,42.997194075441946,10.9630869180191,96.59540775930276,94.5727193531906,3003.3297291121617,2996.159,2988.9882708878386,2025-03-14 13:15:00,19.27777777777778,1156.6666666666667,3
194,194,2025-04-01 07:00:00,3146.25,11407.51,IMPERIUM,IMPERIUM,195,195,2025-04-01 10:00:00,3133.38,11394.64,-12.87,,,2025.04.01 07:00,3145.64,3146.15,3144.54,3145.09,63.0,65.96157098745212,3143.9365000000007,2.6082892012927914,3.006392129382897,1.5999999999999512,32.18802150774688,22.48759341846428,17.14601300706754,75.20661157024853,81.70437130063466,3146.3342595792737,3143.9365,3141.538740420726,2025-04-01 07:00:00,2025.04.01 10:00,3133.23,3133.9,3132.46,3133.17,78.0,39.67073934040277,3136.190500000001,-2.2529269153269524,-2.506108754658151,3.502142857142945,16.502747690131663,17.971868868933623,22.72530292154396,45.906801007556645,40.242355461693485,3147.2988904774725,3136.1905,3125.082109522528,2025-04-01 10:00:00,3.0,180.0,3
