entry_order,entry_deal,entry_time,entry_price,entry_balance,entry_comment_deal,entry_comment_order,exit_order,exit_deal,exit_time,exit_price,exit_balance,profit,exit_comment_deal,exit_comment_order,entry_Timestamp,entry_Open,entry_High,entry_Low,entry_Close,entry_Spread (Pips),entry_RSI(14),"entry_MA(20,SMA)",entry_MACD Main,entry_MACD Signal,entry_ATR(14),entry_ADX(14),entry_plusDI(14),entry_minusDI(14),entry_StochK(14),entry_StochD(14),entry_BB_Upper,entry_BB_Mid,entry_BB_Lower,entry_candle_time,exit_Timestamp,exit_Open,exit_High,exit_Low,exit_Close,exit_Spread (Pips),exit_RSI(14),"exit_MA(20,SMA)",exit_MACD Main,exit_MACD Signal,exit_ATR(14),exit_ADX(14),exit_plusDI(14),exit_minusDI(14),exit_StochK(14),exit_StochD(14),exit_BB_Upper,exit_BB_Mid,exit_BB_Lower,exit_candle_time,duration_hours,trade_duration_minutes,cluster
78,78,2025-02-11 15:00:00,2889.37,10597.46,IMPERIUM,IMPERIUM,81,81,2025-02-11 16:00:00,2896.15,10578.1,-7.24,,,2025.02.11 15:00,2888.59,2890.12,2883.42,2886.4,78.0,18.161953913004368,2899.58949999999,-3.709799438512164,-2.1295282159889464,3.595000000000025,40.67741951176269,7.943157506715024,40.50156534765343,12.151324965132217,9.366960899566124,2909.8751569551973,2899.5895,2889.3038430448028,2025-02-11 15:00:00,2025.02.11 16:00,2896.0,2898.54,2894.44,2897.08,86.0,54.9292321200144,2892.2994999999896,-1.5122479393303363,-3.3480569276565544,4.776428571428594,30.272135369724605,26.72518182333374,13.293482603888709,80.04626951995316,70.33205621982296,2902.964312187751,2892.2995,2881.634687812249,2025-02-11 16:00:00,1.0,60.0,2
120,120,2025-02-25 19:00:00,2896.7,10853.43,IMPERIUM,IMPERIUM,124,124,2025-02-27 12:00:00,2887.05,10775.63,-9.65,,,2025.02.25 19:00,2895.95,2896.19,2893.23,2895.48,84.0,29.92081098873055,2900.008999999992,-7.460914724830218,-8.69468469851738,4.879999999999942,52.54926868962893,10.50143076032358,27.93275994037955,38.96551724137928,38.12071759314372,2910.1517548526026,2900.009,2889.8662451473974,2025-02-25 19:00:00,2025.02.27 12:00,2886.9,2888.61,2886.27,2888.46,82.0,53.39255989832191,2884.854499999992,-0.2960680605701782,-0.9447677291932268,3.3428571428571483,23.47520391915789,21.099590633401466,20.260927361022382,66.42171871810689,63.13533374158166,2891.0544950806434,2884.8545,2878.6545049193564,2025-02-27 12:00:00,41.0,2460.0,2
198,198,2025-04-01 19:00:00,3113.62,11396.44,IMPERIUM,IMPERIUM,201,201,2025-04-01 20:00:00,3106.38,11389.2,-7.24,,,2025.04.01 19:00,3112.99,3116.34,3111.0,3113.93,72.0,26.531049748361383,3125.2445000000016,-3.581272555855321,-1.8113598638919743,3.796428571428587,44.37905242341238,4.9824007756387765,35.34252969554246,8.559102674718957,11.93924451691195,3135.2767888216,3125.2445,3115.2122111784,2025-04-01 19:00:00,2025.04.01 20:00,3106.23,3108.12,3106.06,3107.22,69.0,37.62923415033546,3112.420500000002,-5.097147384323762,-5.813475700491261,4.36142857142848,56.95581370803769,4.992385911296728,20.64676454828017,31.37193203272438,31.875617910603204,3127.390433166184,3112.4205,3097.4505668338165,2025-04-01 20:00:00,1.0,60.0,2
200,200,2025-04-01 20:00:00,3106.83,11396.44,IMPERIUM,IMPERIUM,203,203,2025-04-02 11:00:00,3124.99,11418.73,11.37,,,2025.04.01 20:00,3106.23,3108.12,3106.06,3107.22,69.0,37.62923415033546,3112.420500000002,-5.097147384323762,-5.813475700491261,4.36142857142848,56.95581370803769,4.992385911296728,20.64676454828017,31.37193203272438,31.875617910603204,3127.390433166184,3112.4205,3097.4505668338165,2025-04-01 20:00:00,2025.04.02 11:00,3124.84,3125.1,3123.14,3124.97,74.0,67.93741068835999,3117.6840000000016,1.4847865628075851,-0.0116805888006048,2.5299999999999807,35.33503401829775,36.686848049148914,9.28372529942394,94.44582196875722,96.05380923544756,3124.743703676501,3117.684,3110.6242963234995,2025-04-02 11:00:00,15.0,900.0,2
209,209,2025-04-03 14:00:00,3095.93,11447.44,IMPERIUM,IMPERIUM,215,215,2025-04-03 17:08:40,3105.7,11323.41,29.17,tp 3105.70,tp 3105.70,2025.04.03 14:00,3095.27,3097.5,3087.1,3095.86,78.0,27.472051840694547,3114.031999999998,-7.084266027753984,-5.415917564041019,7.081428571428599,52.60721820602053,10.912376931921816,34.27880377816909,18.528290823805385,20.083134456882348,3134.6312131888576,3114.032,3093.4327868111427,2025-04-03 14:00:00,2025.04.03 17:05,3099.42,3106.57,3095.65,3105.62,78.0,67.66410686761861,3075.8779999999965,2.075060163050693,-3.708587469157144,9.227142857142848,31.269391093807982,36.895325592392325,14.857665402109337,92.79441405125203,88.71360244406088,3101.072237912666,3075.878,3050.6837620873343,2025-04-03 17:05:00,3.1444444444444444,188.66666666666663,2
213,213,2025-04-03 16:00:00,3076.53,11294.24,IMPERIUM,IMPERIUM,217,217,2025-04-03 18:00:00,3128.65,11408.25,32.72,,,2025.04.03 16:00,3075.89,3075.93,3067.33,3067.67,75.0,29.69335857584741,3082.522499999997,-8.982448225317512,-8.738426347986541,6.125714285714207,34.71883872540066,22.927728818118226,34.91892973591396,33.674364220988075,32.41696737743086,3102.999244736408,3082.5225,3062.045755263592,2025-04-03 16:00:00,2025.04.03 18:00,3128.5,3129.03,3124.77,3126.36,79.0,67.99527660908021,3106.6634999999965,12.424156925447278,10.842224621063872,8.157142857142848,43.43536967729756,27.94931131045557,21.199472032734857,88.82619974059664,93.13674016743636,3148.6181780585903,3106.6635,3064.708821941409,2025-04-03 18:00:00,2.0,120.0,2
214,214,2025-04-03 16:00:00,3076.53,11294.24,IMPERIUM,IMPERIUM,216,216,2025-04-03 18:00:00,3128.65,11375.53,52.12,,,2025.04.03 16:00,3075.89,3075.93,3067.33,3067.67,75.0,29.69335857584741,3082.522499999997,-8.982448225317512,-8.738426347986541,6.125714285714207,34.71883872540066,22.927728818118226,34.91892973591396,33.674364220988075,32.41696737743086,3102.999244736408,3082.5225,3062.045755263592,2025-04-03 16:00:00,2025.04.03 18:00,3128.5,3129.03,3124.77,3126.36,79.0,67.99527660908021,3106.6634999999965,12.424156925447278,10.842224621063872,8.157142857142848,43.43536967729756,27.94931131045557,21.199472032734857,88.82619974059664,93.13674016743636,3148.6181780585903,3106.6635,3064.708821941409,2025-04-03 18:00:00,2.0,120.0,2
220,220,2025-04-04 12:00:00,3084.49,11408.25,IMPERIUM,IMPERIUM,223,223,2025-04-04 14:00:00,3110.13,11428.77,17.18,,,2025.04.04 12:00,3083.73,3090.29,3083.41,3089.42,78.0,47.93898218659555,3088.857499999997,-3.780851181105845,-4.32568103723728,3.820714285714306,45.19233901427571,29.40167602045648,27.90837727035992,43.64128333977673,34.09081494126969,3099.612937462048,3088.8575000000005,3078.1020625379538,2025-04-04 12:00:00,2025.04.04 14:00,3109.98,3113.8,3108.8,3112.51,78.0,66.12155108630185,3099.5849999999964,5.4207775920122,3.9394954124446735,6.350714285714246,41.74183984987921,27.779984090182364,9.785148628310386,79.29397443700611,80.2159104060256,3117.495624221394,3099.585,3081.6743757786053,2025-04-04 14:00:00,2.0,120.0,2
224,224,2025-04-04 20:00:00,3031.33,11428.77,IMPERIUM,IMPERIUM,227,227,2025-04-07 02:38:40,2977.05,11379.63,-49.14,sl 2977.05,sl 2977.05,2025.04.04 20:00,3030.51,3032.36,3029.13,3030.43,84.0,46.66585752172892,3025.399999999996,-3.495693336567001,-5.995974567364795,5.308571428571446,22.84070261201561,16.029604107513023,14.051743892975836,69.32557343375602,70.85172777598162,3035.054957275928,3025.4,3015.7450427240715,2025-04-04 20:00:00,2025.04.07 02:35,2980.41,2985.56,2976.4,2979.88,99.0,28.01396674941796,3007.354499999996,-11.047756156942796,-7.184165989797736,8.460714285714175,43.270233196899525,8.127993256028509,38.99926270391535,6.865416050439929,6.472183841794168,3035.91861348178,3007.3545,2978.79038651822,2025-04-07 02:35:00,54.644444444444446,3278.6666666666665,2
226,226,2025-04-07 02:00:00,3010.18,11428.77,IMPERIUM,IMPERIUM,230,230,2025-04-07 05:00:00,3037.92,11478.88,27.74,,,2025.04.07 02:00,3008.75,3014.98,3007.88,3013.93,158.0,44.65155054290392,3022.4644999999955,-5.238656439034912,-4.464698806075616,13.491428571428514,31.86140931632612,17.89604685944498,23.552837880924454,35.80409356725155,37.89473684210614,3047.8753657664392,3022.4645,2997.053634233561,2025-04-07 02:00:00,2025.04.07 05:00,3037.77,3045.24,3035.44,3045.24,86.0,69.09544715924608,3010.311999999996,13.204642607599908,8.328715144598911,14.064999999999888,40.98443771488549,22.182385548369123,11.941742699042532,83.72018824280141,86.31590787866317,3064.3422632234924,3010.311999999999,2956.2817367765056,2025-04-07 05:00:00,3.0,180.0,2
